Sun_x,Sun_y, Merc_x,Merc_y, Earth_x,Earth_y, Jup_x,Jup_y
4.777139e+06,3.682465e+05, 3.585610e+10,-4.765117e+10, 3.929278e+10,1.430942e+11, 7.738917e+11,8.446230e+10
4.902509e+06,3.806859e+05, 3.892519e+10,-4.504823e+10, 3.678334e+10,1.437543e+11, 7.737677e+11,8.558393e+10
5.029494e+06,3.933928e+05, 4.181156e+10,-4.223379e+10, 3.426274e+10,1.443709e+11, 7.736421e+11,8.670539e+10
5.158093e+06,4.063718e+05, 4.450060e+10,-3.922000e+10, 3.173175e+10,1.449436e+11, 7.735148e+11,8.782667e+10
5.288306e+06,4.196280e+05, 4.697843e+10,-3.602003e+10, 2.919114e+10,1.454724e+11, 7.733859e+11,8.894776e+10
5.420134e+06,4.331664e+05, 4.923192e+10,-3.264804e+10, 2.664167e+10,1.459570e+11, 7.732554e+11,9.006866e+10
5.553575e+06,4.469923e+05, 5.124883e+10,-2.911913e+10, 2.408413e+10,1.463973e+11, 7.731232e+11,9.118937e+10
5.688629e+06,4.611110e+05, 5.301781e+10,-2.544934e+10, 2.151928e+10,1.467932e+11, 7.729895e+11,9.230990e+10
5.825294e+06,4.755279e+05, 5.452857e+10,-2.165557e+10, 1.894790e+10,1.471446e+11, 7.728541e+11,9.343022e+10
5.963571e+06,4.902485e+05, 5.577184e+10,-1.775556e+10, 1.637078e+10,1.474513e+11, 7.727171e+11,9.455036e+10
6.103457e+06,5.052783e+05, 5.673954e+10,-1.376781e+10, 1.378869e+10,1.477133e+11, 7.725784e+11,9.567029e+10
6.244951e+06,5.206232e+05, 5.742481e+10,-9.711518e+09, 1.120242e+10,1.479305e+11, 7.724382e+11,9.679002e+10
6.388051e+06,5.362888e+05, 5.782208e+10,-5.606510e+09, 8.612758e+09,1.481027e+11, 7.722963e+11,9.790955e+10
6.532755e+06,5.522809e+05, 5.792715e+10,-1.473163e+09, 6.020483e+09,1.482300e+11, 7.721528e+11,9.902888e+10
6.679062e+06,5.686054e+05, 5.773724e+10,2.667690e+09, 3.426384e+09,1.483123e+11, 7.720077e+11,1.001480e+11
6.826969e+06,5.852680e+05, 5.725107e+10,6.794856e+09, 8.312493e+08,1.483496e+11, 7.718609e+11,1.012669e+11
6.976472e+06,6.022746e+05, 5.646891e+10,1.088689e+10, -1.764134e+09,1.483419e+11, 7.717125e+11,1.023856e+11
7.127570e+06,6.196311e+05, 5.539259e+10,1.492221e+10, -4.358979e+09,1.482891e+11, 7.715626e+11,1.035041e+11
7.280259e+06,6.373431e+05, 5.402558e+10,1.887921e+10, -6.952497e+09,1.481914e+11, 7.714109e+11,1.046223e+11
7.434535e+06,6.554165e+05, 5.237299e+10,2.273641e+10, -9.543901e+09,1.480487e+11, 7.712577e+11,1.057404e+11
7.590394e+06,6.738568e+05, 5.044162e+10,2.647257e+10, -1.213240e+10,1.478610e+11, 7.711029e+11,1.068582e+11
7.747833e+06,6.926696e+05, 4.823992e+10,3.006683e+10, -1.471722e+10,1.476285e+11, 7.709464e+11,1.079758e+11
7.906847e+06,7.118602e+05, 4.577801e+10,3.349889e+10, -1.729757e+10,1.473512e+11, 7.707883e+11,1.090931e+11
8.067432e+06,7.314340e+05, 4.306763e+10,3.674910e+10, -1.987267e+10,1.470291e+11, 7.706286e+11,1.102103e+11
8.229582e+06,7.513959e+05, 4.012214e+10,3.979865e+10, -2.244173e+10,1.466625e+11, 7.704673e+11,1.113272e+11
8.393293e+06,7.717508e+05, 3.695643e+10,4.262972e+10, -2.500398e+10,1.462514e+11, 7.703043e+11,1.124439e+11
8.558559e+06,7.925034e+05, 3.358686e+10,4.522559e+10, -2.755864e+10,1.457958e+11, 7.701397e+11,1.135603e+11
8.725374e+06,8.136580e+05, 3.003119e+10,4.757080e+10, -3.010494e+10,1.452961e+11, 7.699736e+11,1.146765e+11
8.893734e+06,8.352188e+05, 2.630844e+10,4.965130e+10, -3.264210e+10,1.447523e+11, 7.698058e+11,1.157925e+11
9.063631e+06,8.571895e+05, 2.243883e+10,5.145452e+10, -3.516936e+10,1.441646e+11, 7.696363e+11,1.169082e+11
9.235059e+06,8.795736e+05, 1.844359e+10,5.296954e+10, -3.768595e+10,1.435332e+11, 7.694653e+11,1.180236e+11
9.408013e+06,9.023743e+05, 1.434485e+10,5.418715e+10, -4.019110e+10,1.428583e+11, 7.692927e+11,1.191389e+11
9.582486e+06,9.255945e+05, 1.016547e+10,5.509997e+10, -4.268407e+10,1.421400e+11, 7.691184e+11,1.202538e+11
9.758471e+06,9.492367e+05, 5.928899e+09,5.570248e+10, -4.516410e+10,1.413787e+11, 7.689425e+11,1.213685e+11
9.935963e+06,9.733028e+05, 1.658968e+09,5.599107e+10, -4.763043e+10,1.405745e+11, 7.687650e+11,1.224830e+11
1.011495e+07,9.977948e+05, -2.620256e+09,5.596410e+10, -5.008233e+10,1.397277e+11, 7.685859e+11,1.235972e+11
1.029544e+07,1.022714e+06, -6.884662e+09,5.562191e+10, -5.251904e+10,1.388386e+11, 7.684052e+11,1.247112e+11
1.047741e+07,1.048061e+06, -1.111027e+10,5.496679e+10, -5.493984e+10,1.379074e+11, 7.682228e+11,1.258248e+11
1.066085e+07,1.073838e+06, -1.527343e+10,5.400297e+10, -5.734400e+10,1.369345e+11, 7.680389e+11,1.269383e+11
1.084578e+07,1.100043e+06, -1.935094e+10,5.273656e+10, -5.973078e+10,1.359200e+11, 7.678533e+11,1.280514e+11
1.103217e+07,1.126678e+06, -2.332028e+10,5.117553e+10, -6.209947e+10,1.348645e+11, 7.676661e+11,1.291643e+11
1.122002e+07,1.153741e+06, -2.715971e+10,4.932957e+10, -6.444936e+10,1.337681e+11, 7.674773e+11,1.302769e+11
1.140932e+07,1.181233e+06, -3.084846e+10,4.721005e+10, -6.677974e+10,1.326312e+11, 7.672869e+11,1.313892e+11
1.160007e+07,1.209152e+06, -3.436684e+10,4.482989e+10, -6.908991e+10,1.314542e+11, 7.670949e+11,1.325013e+11
